Date,Positive
2020-03-08,3
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,2
2020-03-15,0
2020-03-16,3
2020-03-17,2
2020-03-18,4
2020-03-19,4
2020-03-20,2
2020-03-21,4
2020-03-22,3
2020-03-23,6
2020-03-24,6
2020-03-25,0
2020-03-26,5
2020-03-27,5
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,2
2020-04-01,3
2020-04-02,2
2020-04-03,5
2020-04-04,9
2020-04-05,18
2020-04-06,35
2020-04-07,41
2020-04-08,54
2020-04-09,112
2020-04-10,94
2020-04-11,58
2020-04-12,139
2020-04-13,182
2020-04-14,209
2020-04-15,219
2020-04-16,341
2020-04-17,266
2020-04-18,306
2020-04-19,312
2020-04-20,492
2020-04-21,434
2020-04-22,390
2020-04-23,414
2020-04-24,503
2020-04-25,309
2020-04-27,497
2020-04-28,549
2020-04-29,641
2020-04-30,564
2020-05-01,571
2020-05-02,552
2020-05-03,665
2020-05-04,688
2020-05-05,786
2020-05-06,790
2020-05-07,706
2020-05-08,709
2020-05-09,636
2020-05-10,887
2020-05-11,1034
2020-05-12,969
2020-05-13,1162
2020-05-14,1041
2020-05-15,1202
2020-05-16,930
2020-05-17,1273
2020-05-18,1602
2020-05-19,1251
2020-05-20,1617
2020-05-21,1773
2020-05-22,1694
2020-05-23,1873
2020-05-24,1532
2020-05-25,1975
2020-05-26,1166
2020-05-27,1541
2020-05-28,2029
2020-05-29,2523
2020-05-30,1764
