Country, Population
"Afghanistan", 32225560
"Albania", 2845955
"Algeria", 43000000
"Andorra", 77543
"Angola", 31127674
"Antigua and Barbuda", 96453
"Argentina", 44938712
"Armenia", 2956900
"Australia", 25739394
"Austria", 8902600
"Azerbaijan", 10067108
"Bahamas", 385340
"Bahrain", 1543300
"Bangladesh", 168776992
"Barbados", 287025
"Belarus", 9397800
"Belgium", 11534131
"Benin", 11733059
"Bhutan", 741672
"Bolivia", 11469896
"Bosnia and Herzegovina", 3301000
"Brazil", 211654449
"Brunei", 459500
"Bulgaria", 6951482
"Burkina Faso", 21510181
"Cape Verde", 550483
"Cambodia", 15288489
"Cameroon", 26545864
"Canada", 38063312
"Central African Republic", 5496011
"Chad", 16244513
"Chile", 19107216
"China", 1403075600
"Colombia", 50372424
"Congo", 5518092
"DR Congo", 89561404
"Costa Rica", 5058007
"Ivory Coast", 25823071
"Croatia", 4076246
"Cuba", 11193470
"Cyprus", 875900
"Czech Republic", 10693939
"Denmark", 5824857
"Djibouti", 1078373
"Dominican Republic", 10358320
"Ecuador", 17505396
"Egypt", 100494397
"El Salvador", 6486201
"Equatorial Guinea", 1454789
"Eritrea", 3497117
"Estonia", 1328976
"Eswatini", 1093238
"Ethiopia", 98665000
"Fiji", 884887
"Finland", 5498806
"France", 67067000
"Gabon", 2172579
"Gambia", 2347706
"Georgia", 3716858
"Germany", 83149300
"Ghana", 30280811
"Greece", 10724599
"Guatemala", 16604026
"Guinea", 12218357
"Guyana", 782766
"Haiti", 11577779
"Vatican City", 825
"Honduras", 9158345
"Hungary", 9769000
"Iceland", 366130
"India", 1363435656
"Indonesia", 266911900
"Iran", 83527494
"Iraq", 40150200
"Ireland", 4921500
"Israel", 9208080
"Italy", 60238522
"Jamaica", 2726667
"Japan", 125900000
"Jordan", 10701524
"Kazakhstan", 18718824
"Kenya", 47564296
"South Korea", 51780579
"Kuwait", 4420110
"Kyrgyzstan", 6533500
"Latvia", 1904600
"Lebanon", 6825442
"Liberia", 4475353
"Liechtenstein", 38749
"Lithuania", 2793353
"Luxembourg", 626108
"Madagascar", 26251309
"Malaysia", 32809760
"Maldives", 374775
"Malta", 493559
"Mauritania", 4077347
"Mauritius", 1265475
"Mexico", 127792286
"Moldova", 2681735
"Monaco", 38100
"Mongolia", 3322391
"Montenegro", 622359
"Morocco", 35926132
"Namibia", 2458936
"Nepal", 29996478
"Netherlands", 17476231
"New Zealand", 5007195
"Nicaragua", 6460411
"Niger", 22314743
"Nigeria", 206139587
"North Macedonia", 2077132
"Norway", 5372355
"Oman", 4645249
"Pakistan", 220892331
"Panama", 4218808
"Papua New Guinea", 8935000
"Paraguay", 7252672
"Peru", 32824358
"Philippines", 108755173
"Poland", 38379000
"Portugal", 10276617
"Qatar", 2795484
"Romania", 19405156
"Russia", 146748590
"Rwanda", 12374397
"Saint Lucia", 178696
"Saint Vincent and the Grenadines", 110608
"San Marino", 33553
"Saudi Arabia", 34218169
"Senegal", 16705608
"Serbia", 6963764
"Seychelles", 98055
"Singapore", 5703600
"Slovakia", 5457873
"Slovenia", 2095861
"Somalia", 15893219
"South Africa", 58775022
"Spain", 47329981
"Sri Lanka", 21803000
"Sudan", 42582860
"Suriname", 581372
"Sweden", 10343403
"Switzerland", 8603899
"Taiwan", 23596493
"Tanzania", 57637628
"Thailand", 66516505
"Togo", 7538000
"Trinidad and Tobago", 1363985
"Tunisia", 11722038
"Turkey", 83154997
"Uganda", 41590300
"Ukraine", 41830619
"United Arab Emirates", 9890400
"United Kingdom", 66796807
"Uruguay", 3518552
"United States", 329855869
"Uzbekistan", 34237594
"Venezuela", 32219521
"Vietnam", 96208984
"Zambia", 17885422
"Zimbabwe", 15159624
"Dominica", 71808
"Grenada", 112003
"Mozambique", 30066648
"Syria", 17500657
"East Timor", 1387149
"Belize", 408487
"Laos", 7123205
"Libya", 6871287
"Palestine", 4976684
"Guinea-Bissau", 1604528
"Mali", 20250833
"Saint Kitts and Nevis", 52823
"Kosovo", 1795666
"Botswana", 2338851
"Burundi", 10953317
"Sierra Leone", 7901454
"Malawi", 19129952
"South Sudan", 12778250
"Western Sahara", 582463
"Yemen", 29825968
"Comoros", 873724
"Tajikistan", 9127000
"Lesotho", 2007201
